subject_id	predicate_modifier	predicate_id	object_id	creator_id	mapping_justification	comment
bioregistry:abcd	Not	skos:exactMatch	fairsharing:FAIRsharing.kr3215	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:abs	Not	skos:exactMatch	aberowl:ABS	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ac	Not	skos:exactMatch	bioportal:AC	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ac	Not	skos:exactMatch	fairsharing:FAIRsharing.md3e78	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ac	Not	skos:exactMatch	lov:ac	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:aeo	Not	skos:exactMatch	agroportal:AEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:afo	Not	skos:exactMatch	agroportal:AFO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:agricola	Not	skos:exactMatch	lov:agr	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ark	Not	skos:exactMatch	bartoc:20297	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:atc	Not	skos:exactMatch	agroportal:ATC	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:atc	Not	skos:exactMatch	hl7:2.16.840.1.113883.6.77	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:bcgo	Not	skos:exactMatch	fairsharing:FAIRsharing.2hzttx	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:bto	Not	skos:exactMatch	lov:bto	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cco	Not	skos:exactMatch	lov:cco	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:citexplore	Not	skos:exactMatch	aberowl:CTX	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:citexplore	Not	skos:exactMatch	bioportal:CTX	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cl	Not	skos:exactMatch	lov:cl	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cmo	Not	skos:exactMatch	lov:cmo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cp	Not	skos:exactMatch	fairsharing:FAIRsharing.wP3t2L	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cro	Not	skos:exactMatch	lov:cro	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:csp	Not	skos:exactMatch	lov:csp	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cst	Not	skos:exactMatch	aberowl:CST	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cst	Not	skos:exactMatch	bioportal:CST	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cst	Not	skos:exactMatch	hl7:2.16.840.1.113883.6.62	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cto	Not	skos:exactMatch	lov:cto	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:dicom	Not	skos:exactMatch	lov:dicom	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:dpo	Not	skos:exactMatch	lov:dpo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:dpv	Not	skos:exactMatch	zazuko:dpv	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:dso	Not	skos:exactMatch	lov:dso	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:eo	Not	skos:exactMatch	bioportal:EO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:eol	Not	skos:exactMatch	fairsharing:FAIRsharing.3J6NYn	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:epio	Not	skos:exactMatch	fairsharing:FAIRsharing.p6412v	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:epo	Not	skos:exactMatch	aberowl:EPO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:epo	Not	skos:exactMatch	bioportal:EPO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:epso	Not	skos:exactMatch	fairsharing:FAIRsharing.p6412v	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:genbase	Not	skos:exactMatch	fairsharing:FAIRsharing.3da56b	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	aberowl:GEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	biocontext:GEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	bioportal:GEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	fairsharing:FAIRsharing.27rndz	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	lov:geo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	obofoundry:geo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	ols:geo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	ontobee:GEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	zazuko:geo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geonames	Not	skos:exactMatch	fairsharing:FAIRsharing.56a0Uj	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:gnd	Not	skos:exactMatch	prefixcommons:gnd	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:gold	Not	skos:exactMatch	lov:gold	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:gro	Not	skos:exactMatch	biocontext:GRO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:gro	Not	skos:exactMatch	miriam:gro	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:gro	Not	skos:exactMatch	obofoundry:gro	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:hp	Not	skos:exactMatch	aberowl:HP_O	orcid:0000-0001-9439-5346	semapv:ManualMappingCuration	
bioregistry:hp	Not	skos:exactMatch	bioportal:HP_O	orcid:0000-0001-9439-5346	semapv:ManualMappingCuration	
bioregistry:hp	Not	skos:exactMatch	lov:hpo	orcid:0000-0001-9439-5346	semapv:ManualMappingCuration	
bioregistry:hpath	Not	skos:exactMatch	fairsharing:FAIRsharing.kj336a	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:icdo	Not	skos:exactMatch	aberowl:ICDO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:icdo	Not	skos:exactMatch	bioportal:ICDO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:icdo	Not	skos:exactMatch	ontobee:ICDO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ma	Not	skos:exactMatch	zazuko:ma	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:mo	Not	skos:exactMatch	lov:mo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:mod	Not	skos:exactMatch	bartoc:20333	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:mod	Not	skos:exactMatch	lov:mod	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:mro	Not	skos:exactMatch	bioportal:MRO	orcid:0000-0001-9439-5346	semapv:ManualMappingCuration	
bioregistry:ncbi.gc	Not	skos:exactMatch	lov:gc	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ncbitaxon	Not	skos:exactMatch	lov:taxon	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ncbitaxon	Not	skos:exactMatch	prefixcommons:uniprot.taxonomy	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:nemo	Not	skos:exactMatch	aberowl:NEMO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:nemo	Not	skos:exactMatch	bioportal:NEMO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:nemo	Not	skos:exactMatch	fairsharing:FAIRsharing.n66krd	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ngl	Not	skos:exactMatch	bartoc:20302	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:oae	Not	skos:exactMatch	lov:oae	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:om	Not	skos:exactMatch	lov:om	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:omim	Not	skos:exactMatch	bioportal:MIM	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:omim	Not	skos:exactMatch	fairsharing:FAIRsharing.azq2t6	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:omim.ps	Not	skos:exactMatch	miriam:ps	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:opm	Not	skos:exactMatch	lov:opm	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:otl	Not	skos:exactMatch	lov:otl	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:peco	Not	skos:exactMatch	lov:peco	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:plo	Not	skos:exactMatch	lov:plo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:po	Not	skos:exactMatch	lov:po	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ppo	Not	skos:exactMatch	lov:ppo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:pr	Not	skos:exactMatch	lov:pro	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:pso	Not	skos:exactMatch	lov:pso	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:rdo	Not	skos:exactMatch	aberowl:RDO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:rdo	Not	skos:exactMatch	bioportal:RDO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:reactome	Not	skos:exactMatch	lov:react	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ro	Not	skos:exactMatch	bioportal:OBOREL	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ro	Not	skos:exactMatch	fairsharing:FAIRsharing.cp0ybc	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ro	Not	skos:exactMatch	lov:ro	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:sao	Not	skos:exactMatch	bartoc:1756	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:sao	Not	skos:exactMatch	lov:sao	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:seed.subsystem	Not	skos:exactMatch	fairsharing:FAIRsharing.68b03f	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:string	Not	skos:exactMatch	zazuko:string	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:sty	Not	skos:exactMatch	biolink:UMLSSG	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:tao	Not	skos:exactMatch	lov:tao	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:te	Not	skos:exactMatch	lov:te	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:uniprot.ptm	Not	skos:exactMatch	prefixcommons:ptmswitchboard	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:vso	Not	skos:exactMatch	lov:vso	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:wikipathways	Not	skos:exactMatch	aberowl:wikipathways	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:wikipathways	Not	skos:exactMatch	bioportal:wikipathways	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:uniprot	Not	skos:exactMatch	aberowl:UP	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:snap	Not	skos:exactMatch	pathguide:494	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:csp	Not	skos:exactMatch	pathguide:192	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:reaxys	Not	skos:exactMatch	edam:1003	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:upa		skos:exactMatch	ontobee:UPA	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:mpath	Not	skos:exactMatch	integbio:nbdc01568	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:rgd	Not	skos:exactMatch	bioportal:RGD	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:rgd	Not	skos:exactMatch	aberowl:RGD	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:bila		skos:exactMatch	prefixcommons:4dxpress	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:mop	Not	skos:exactMatch	bartoc:20466	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:sigmaaldrich		skos:exactMatch	pathguide:236	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:bind	Not	skos:exactMatch	pathguide:1	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cdd	Not	skos:exactMatch	fairsharing:FAIRsharing.ea287c	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:intact	Not	skos:exactMatch	togoid:Intact	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cco	Not	skos:exactMatch	bartoc:20461	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:snap	Not	skos:exactMatch	prefixcommons:snap	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:edam		skos:exactMatch	ontobee:EDAM	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pso	Not	skos:exactMatch	bioportal:pso	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pfr	Not	skos:exactMatch	fairsharing:FAIRsharing.wqsxtg	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pfr	Not	skos:exactMatch	re3data:r3d100012385	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:door	Not	skos:exactMatch	re3data:r3d100014113	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pride	Not	skos:exactMatch	aberowl:PRIDE	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cdd	Not	skos:exactMatch	re3data:r3d100012041	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:seinet		skos:exactMatch	wikidata:P6209	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ncbigi	Not	skos:exactMatch	go:NCBI_gi	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cpc	Not	skos:exactMatch	fairsharing:FAIRsharing.e08886	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cst	Not	skos:exactMatch	hl7:2.16.840.1.113883.6.62	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ncbitaxon	Not	skos:exactMatch	togoid:Taxonomy	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pathoplant		skos:exactMatch	pathguide:333	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ppdb	Not	skos:exactMatch	fairsharing:FAIRsharing.7k8zh0	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	edam:1147	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:rgd	Not	skos:exactMatch	togoid:Rgd	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:eo	Not	skos:exactMatch	aberowl:EO	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:foaf		skos:exactMatch	bioportal:FOAF	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:trans	Not	skos:exactMatch	fairsharing:FAIRsharing.nygmp7	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:jax	Not	skos:exactMatch	rrid:IMSR_JAX	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:bcrc		skos:exactMatch	cellosaurus:BCRC	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:rhea	Not	skos:exactMatch	togoid:Rhea	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:fbcv		skos:exactMatch	ontobee:FBcv	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pubmed	Not	skos:exactMatch	cheminf:000302	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:inn		skos:exactMatch	wikidata:P2275	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:eol	Not	skos:exactMatch	re3data:r3d100011663	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:igsn	Not	skos:exactMatch	n2t:igsn	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:astd	Not	skos:exactMatch	prefixcommons:astd	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:lcsh	Not	skos:exactMatch	wikidata:P244	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:string		skos:exactMatch	uniprot:DB-0141	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:mdm	Not	skos:exactMatch	bioportal:MDM	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:omim	Not	skos:exactMatch	edam:1153	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:dsmz		skos:exactMatch	cellosaurus:DSMZCellDive	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:conoserver		skos:exactMatch	uniprot:DB-0156	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:dpv	Not	skos:exactMatch	lov:dpv	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:duo		skos:exactMatch	bioportal:DUO	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:smart	Not	skos:exactMatch	togoid:Smart	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:genatlas		skos:exactMatch	uniprot:DB-0027	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cc	Not	skos:exactMatch	aberowl:CC	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:iuphar.receptor		skos:exactMatch	wikidata:P5458	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:icdc	Not	skos:exactMatch	fairsharing:FAIRsharing.d95034	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:dicom	Not	skos:exactMatch	fairsharing:FAIRsharing.b7z8by	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:owl	Not	skos:exactMatch	integbio:nbdc00307	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:tarbase		skos:exactMatch	pathguide:283	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cog		skos:exactMatch	go:COG_Cluster	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pdb	Not	skos:exactMatch	togoid:Pdb	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:icdc	Not	skos:exactMatch	re3data:r3d100010405	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:rgd		skos:exactMatch	edam:2620	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:bind		skos:exactMatch	prefixcommons:bind	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cog		skos:exactMatch	togoid:Cog	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:iuphar.receptor		skos:exactMatch	uniprot:DB-0182	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ogms	Not	skos:exactMatch	bartoc:216	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cog.pathway		skos:exactMatch	go:COG_Pathway	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ipi		skos:exactMatch	integbio:nbdc00911	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ped	Not	skos:exactMatch	integbio:nbdc02490	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:tsc		skos:exactMatch	rrid:TSC	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:cgnc	Not	skos:exactMatch	re3data:r3d100012429	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:apollosv		skos:exactMatch	ontobee:APOLLO_SV	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ped	Not	skos:exactMatch	fairsharing:FAIRsharing.4ef690	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:gemet		skos:exactMatch	bartoc:16	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ccf	Not	skos:exactMatch	re3data:r3d100012657	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:hdl		skos:exactMatch	fairsharing:FAIRsharing.0b7e54	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:knapsack		skos:exactMatch	wikidata:P2064	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:dbsnp		skos:exactMatch	ncbi:dbSNP	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:dpv	Not	skos:exactMatch	integbio:nbdc02410	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pmr		skos:exactMatch	bioportal:PMR	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pmr		skos:exactMatch	aberowl:PMR	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:miriam	Not	skos:exactMatch	fairsharing:FAIRsharing.ap169a	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:gtdb	Not	skos:exactMatch	pathguide:190	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:enm		skos:exactMatch	aberowl:ENM	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:plana		skos:exactMatch	ontobee:PLANA	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:atc	Not	skos:exactMatch	togoid:Atc	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:dictybase		skos:exactMatch	go:dictyBase	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:epd	Not	skos:exactMatch	uniprot:DB-0205	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:interpro		skos:exactMatch	wikidata:P2926	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:unite	Not	skos:exactMatch	edam:2390	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:ccds		skos:exactMatch	uniprot:DB-0187	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:vcard		skos:exactMatch	lov:vcard	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:bcio	Not	skos:exactMatch	aberowl:BCI-O	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:bcio	Not	skos:exactMatch	bioportal:BCI-O	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pmc		skos:exactMatch	cellosaurus:PMCID	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:pmc		skos:exactMatch	go:PMCID	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:wikipedia.en		skos:exactMatch	go:Wikipedia	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
bioregistry:aaindex		skos:exactMatch	integbio:nbdc00004	orcid:0009-0009-5240-7463	semapv:ManualMappingCuration	
